2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
2	0	0	17.1782	8.0420E+08	4.7755E-06	3.5580E-05
2	0	0	17.1044	1.0240E+09	6.1649E-06	3.4920E-05
2	0	0	17.3040	9.8130E+08	1.4000E-05	3.4270E-05
2	0	0	17.3238	5.7930E+08	1.8906E-05	3.1860E-05
2	0	0	17.1132	9.1890E+08	4.8034E-06	3.1380E-05
2	0	0	17.2441	8.5700E+08	7.4521E-06	2.9720E-05
2	0	0	17.2083	5.3420E+08	4.3220E-06	2.8990E-05
2	0	0	17.1458	8.3960E+08	5.5898E-06	2.8780E-05
2	0	0	17.1681	6.3340E+08	3.3944E-06	2.7990E-05
2	0	0	17.2741	7.9010E+08	9.7386E-06	2.7490E-05
2	0	0	17.1872	6.0970E+08	3.7019E-06	2.7000E-05
2	0	0	17.1690	7.6730E+08	3.7910E-06	2.6380E-05
2	0	0	17.2186	4.7650E+08	4.4161E-06	2.5890E-05
2	0	0	17.2635	5.6940E+08	7.0209E-06	2.5440E-05
2	0	0	17.2548	5.6140E+08	6.4916E-06	2.5060E-05
2	0	0	17.0022	7.2100E+08	6.2914E-06	2.4300E-05
2	0	0	17.2207	6.5830E+08	5.9040E-06	2.2770E-05
2	0	0	17.2142	4.4730E+08	3.8068E-06	1.9870E-05
2	0	0	16.9565	3.6470E+08	3.9585E-06	1.9210E-05
2	0	0	17.2019	5.3510E+08	3.8580E-06	1.8470E-05
2	0	0	16.9273	3.2640E+08	3.2189E-06	1.7130E-05
2	0	0	16.9746	5.0700E+08	3.4702E-06	1.7030E-05
2	0	0	17.1313	4.9140E+08	2.8258E-06	1.6820E-05
2	0	0	16.9256	4.6660E+08	3.0557E-06	1.5590E-05
2	0	0	17.1723	4.5100E+08	2.6498E-06	1.5510E-05
2	0	0	17.2137	4.4740E+08	3.5936E-06	1.5460E-05
2	0	0	17.1929	4.3440E+08	3.2012E-06	1.4980E-05
2	0	0	17.2163	2.5700E+08	2.5147E-06	1.3960E-05
